"Main.Compilation"	"Project"	"Company"	"Stage"	"Type"	"Costs"	"Operating.Status"	"AEUB.Status"	"Startup"	"Value"	"Unit.Def"	"Description"	"Descr.Updated"	"Data.Source.Year"	"Data.Source"
"11"	"imperialinvestmentrealty.com 2002"	"Muskeg River  (Albian)"	"Western Oil Sands"	"Expansion"	""	"7e+09"	"Planning"	"Under Review"	2010-07-01	"300000"	"Barrels of bitumen per day"	"Expansion involves the development of the Jackpine lease"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"12"	"imperialinvestmentrealty.com 2002"	"Fort Hills"	"True North Energy"	"Stage 1"	""	"2e+09"	"Under Development"	"Under Review"	2005-07-01	"95000"	"Barrels of bitumen per day"	"True North is a wholly-owned subsidiary of Koch Industries"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"13"	"imperialinvestmentrealty.com 2002"	"Fort Hills"	"UTS Energy"	"Stage 2"	""	"1.5e+09"	"Planning"	"Under Review"	2008-07-01	"95000"	"Barrels of bitumen per day"	"No upgrading plannedplan to sell bitumen blend directly to Pine Bend and N.A market"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"14"	"imperialinvestmentrealty.com 2002"	"Horizon"	"Canadian Natural Resources Limited"	"Initial"	""	"8e+09"	"Under Development"	"Public Disclosure Filed"	2007-07-01	"115000"	"Barrels of bitumen per day"	"Plan to utilized mobile crushing technology at the mine and delayed coking upgrading2009 40.000155.000Planning to find a strategic partner"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"15"	"imperialinvestmentrealty.com 2002"	"Cold Lake"	"Imperial Oil Limited"	"Phases 1-10"	""	"1.7e+09"	"Operating"	"Approved"	1985-07-01	"120000"	"Barrels of bitumen per day"	"Additional wells along with steam generation; bitumen processing and H2O treatment facilities"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"16"	"imperialinvestmentrealty.com 2002"	"Cold Lake"	"Imperial Oil Limited"	"Phases 11-13"	""	"6.5e+08"	"Under Development"	"Approved"	2003-07-01	"30000"	"Barrels of bitumen per day"	"Imperial may build an upgraderpotentially after 2005 when product is displaced from Pine Bend"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"17"	"imperialinvestmentrealty.com 2002"	"Cold Lake"	"Imperial Oil Limited"	"Phases 14-16"	""	"1e+09"	"Under Development"	"Public Disclosure Filed"	2007-07-01	"30000"	"Barrels of bitumen per day"	"Imperial expects to apply for EUB and AE approvals in early 2002"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"18"	"imperialinvestmentrealty.com 2002"	"Primrose & Wolf Lake"	"Canadian Natural Resources Limited"	"Base Operations"	""		"Operating"	"Approved"	1987-07-01	"40000"	"Barrels of bitumen per day"	"Considering upgrading options and ability to burn bitumen for fuel"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"19"	"imperialinvestmentrealty.com 2002"	"Primrose & Wolf Lake"	"Canadian Natural Resources Limited"	"Phase 1"	""	"3.1e+08"	"Planning"	"Approved"		"20000"	"Barrels of bitumen per day"	"Plan to optimize existing facilities to add an additional  20.000bbls/d and later; to add steam facilities for an additional  60.000 bbls/d"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"20"	"imperialinvestmentrealty.com 2002"	"Primrose & Wolf Lake"	"Canadian Natural Resources Limited"	"Phase 2"	""		"Planning"	"Under Review"		"60000"	"Barrels of bitumen per day"	"Submitted regulatory applications in Nov/01 and expect approvals in late ´02"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"21"	"imperialinvestmentrealty.com 2002"	"Foster Creek"	"Alberta Energy Co."	"Phase 1"	""	"2.9e+08"	"Operating"	"Approved"	2001-07-01	"25000"	"Barrels of bitumen per day"	"Primrose block expected to contain 28 bln bbls bitumen in place"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"22"	"imperialinvestmentrealty.com 2002"	"Foster Creek"	"Alberta Energy Co."	"Debottleneck"	""	"5e+07"	"Planning"	"Approved"	2003-07-01	"5000"	"Barrels of bitumen per day"	"Planned debottlenecking to 30.000bbl/d"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"23"	"imperialinvestmentrealty.com 2002"	"Foster Creek"	"Alberta Energy Co."	"Phase 2"	""	"6e+08"	"Planning"	"Not Yet Filed"	2005-07-01	"40000"	"Barrels of bitumen per day"	"Phase 2 & 3 dependent on having a dedicated upgrader market"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"24"	"imperialinvestmentrealty.com 2002"	"Foster Creek"	"Alberta Energy Co."	"Phase 3"	""	"4.4e+08"	"Planning"	"Not Yet Filed"	2007-07-01	"30000"	"Barrels of bitumen per day"	"Currently preparing regulatory applications"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"25"	"imperialinvestmentrealty.com 2002"	"MacKay River"	"Petro-Canada"	"Initial"	""	"3e+08"	"Under Development"	"Approved"	2003-07-01	"30000"	"Barrels of bitumen per day"	"Plan to convert Edmonton refinery to take bitumen by 2007 ($2;800 million conversion)Mackay production will be marketed as bitumen blend until conversion completed in ´07"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"26"	"imperialinvestmentrealty.com 2002"	"Christina Lake"	"PanCanadian"	"Initial"	""	"2e+08"	"Under Development"	"Approved"	2002-07-01	"10000"	"Barrels of bitumen per day"	"Working on upgrading technology through a Joint Venture with Value Creation Inc."	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"27"	"imperialinvestmentrealty.com 2002"	"Christina Lake"	"PanCanadian"	"Expansion"	""	"8e+08"	"Planning"	"Approved"	2008-07-01	"60000"	"Barrels of bitumen per day"	"Expansion dependent on upgrader and dedicated upgrader market"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"28"	"imperialinvestmentrealty.com 2002"	"Firebag"	"Suncor Energy Inc."	"Initial"	""	"1e+09"	"Under Development"	"Approved"	2005-07-01	"35000"	"Barrels of bitumen per day"	"In-situ project and increased upgrading capacity at the Fort McMurray facility"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"29"	"imperialinvestmentrealty.com 2002"	"Firebag"	"Suncor Energy Inc."	"Expansion"	""	"3e+09"	"Planning"	"Approved"	2008-07-01	"105000"	"Barrels of bitumen per day"	"Three additional expansion phases to reach cumulative in-situ production of 140.000bbl/d21"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"30"	"imperialinvestmentrealty.com 2002"	"Meadow Creek"	"Petro-Canada"	"Initial"	""	"8e+08"	"Planning"	"Under Review"	2007-07-01	"80000"	"Barrels of bitumen per day"	"1st Phase is the 80.000bbl/d in-situ project"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"31"	"imperialinvestmentrealty.com 2002"	"Lewis"	"Petro-Canada"	"Initial"	""	"8e+08"	"Planning"	"Public Disclosure Filed"		"60000"	"Barrels of bitumen per day"	"Extensive delineation drilling and seismic were carried out in ´00 and ´01 to help map the full extent of the resource"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"32"	"imperialinvestmentrealty.com 2002"	"Long Lake"	"OPTI Canada"	"Phase 1"	""	"2.3e+09"	"Under Development"	"Under Review"	2006-07-01	"70000"	"Barrels of bitumen per day"	"Nexen to act as operator and develop the SAGD portionOPTI to operate/develop the upgrader"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"33"	"imperialinvestmentrealty.com 2002"	"Long Lake"	"Nexen Inc."	"Phase 2  (Upgrader)"	""	"1.7e+09"	"Planning"	"Not Yet Filed"	2009-07-01	"70000"	"Barrels of bitumen per day"	"Phase 2 to increase upgrading capacity to 140.000bbl/d  - will process some 3rd party volumes"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"34"	"imperialinvestmentrealty.com 2002"	"Kirby"	"Rio Alto Exploration"	"Initial"	""	"3e+08"	"Under Development"	"Public Disclosure Filed"	2004-07-01	"30000"	"Barrels of bitumen per day"	"EUB application expected to be filed in Q1/0222"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"35"	"imperialinvestmentrealty.com 2002"	"Surmont"	"ConocoPhillips Canada Limited"	"Stage 1"	""	"3.25e+08"	"Planning"	"Public Disclosure Filed"		"25000"	"Barrels of bitumen per day"	"Surmont estimated to contain 3 bln bbls recoverable reserves"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"36"	"imperialinvestmentrealty.com 2002"	"Surmont"	"Total E&P Canada Ltd."	"Stage 2"	""	"3.25e+08"	"Planning"	" "		"25000"	"Barrels of bitumen per day"	"Began pilot in 1997 consisting of two well pairs which averaged 580 bbls/d in .000"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"37"	"imperialinvestmentrealty.com 2002"	"Surmont"	"Total E&P Canada Ltd."	"Stage 3"	""	"3.25e+08"	"Planning"	" "		"25000"	"Barrels of bitumen per day"	"Decision on commercial project was to be made by Q4/02 prior to Conoco and Phillips deals"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"38"	"imperialinvestmentrealty.com 2002"	"Surmont"	"Total E&P Canada Ltd."	"Stage 4"	""	"3.25e+08"	"Planning"	" "		"25000"	"Barrels of bitumen per day"	"Stage 1 could start as early as ´04-´05"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"39"	"imperialinvestmentrealty.com 2002"	"Tucker"	"Husky Energy Inc."	"Initial"	""	"4.5e+08"	"Planning"	"2002 Filing"		"20000"	"Barrels of bitumen per day"	"No firm decision on proceeding has been made public to dateProduction likely to be sent to Husky´s Lloydminster upgrader"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"40"	"imperialinvestmentrealty.com 2002"	"Hangingstone"	"Japan Canada Oil Sands Limited"	"Initial"	""	"3.5e+08"	"Operating"	"Approved"	1997-07-01	"4000"	"Barrels of bitumen per day"	"Began pilot project in 1997 and announced commercial project in August of 2001"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"41"	"imperialinvestmentrealty.com 2002"	"Hangingstone"	"Nexen Inc."	"Phase 2"	""	"2.5e+08"	"Under Development"	"Public Disclosure Filed"	2006-07-01	"25000"	"Barrels of bitumen per day"	"Have spent approx. $350 million in the past 10 years.  Will reach 10.000bbls/d by 2002"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"42"	"imperialinvestmentrealty.com 2002"	"Hangingstone"	"Nexen Inc."	"Phase 3"	""	"2e+08"	"Planning"	"Public Disclosure Filed"	2010-07-01	"25000"	"Barrels of bitumen per day"	"Will expand in two phases of 25.000bbls/d.  Ultimate production could reach 100.000bbls/d"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"43"	"imperialinvestmentrealty.com 2002"	"Trout / Christina Lake"	"Devon Canada Corporation"	"Initial"	""		"Under Development"	"Not Yet Filed"	2007-07-01	"25000"	"Barrels of bitumen per day"	"100% WI in the 250 - 300 mmbo recoverable SAGD project"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"44"	"imperialinvestmentrealty.com 2002"	"Orion"	"Blackrock Ventures"	"Phase 1"	""	"1.8e+08"	"Under Development"	"Under Review"		"10000"	"Barrels of bitumen per day"	"Successful 4-yr pilot project currently producing 700 bbl/d - disclosed to start as early as ´03"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"45"	"imperialinvestmentrealty.com 2002"	"Orion"	"Anadarko"	"Phase 2"	""		"Planning"	"Under Review"		"10000"	"Barrels of bitumen per day"	"Blackrock currently seeking new partners"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"46"	"imperialinvestmentrealty.com 2002"	"Northern Lights"	"Synenco Energy"	"Mining & Upgrading"	""	"4.09e+09"	"Planning"	"Not Yet Filed"		"100000"	"Barrels of bitumen per day"	"Open pit mining operation plannedPlan to upgrade bitumen at site"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"47"	"imperialinvestmentrealty.com 2002"	"Joslyn Creek"	"Deer Creek"	"Initial SAGD"	""	"5.96e+08"	"Planning"	"Not Yet Filed"		"30000"	"Barrels of bitumen per day"	"Have also identified additional opportunities for 100.000bbl/d mining project and 2nd 30.000bbl/d SAGD"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"48"	"imperialinvestmentrealty.com 2002"	"Joslyn Creek"	"Deer Creek"	"Expansion"	""	"3.513e+12"	"Planning"	"Not Yet Filed"		"130000"	"Barrels of bitumen per day"	"Currently seeking capital investment"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"49"	"oilsandsreview.com Prognosis 2012"	"Kearl"	"Imperial Oil Limited"	"Phase 1"	""	"1.6e+09"	"Planning"	"Not Yet Filed"			"Barrels of bitumen per day"	"Imperial is 75%/operator of the mining and 20%/non operator of the in situ project"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"50"	"oilsandsreview.com Prognosis 2012"	"Kearl Lake"	"Husky Energy Inc."	"Phase 2"	""	"3.2e+09"	"Planning"	"Not Yet Filed"			"Barrels of bitumen per day"	"Imperial has currently not determined if and when they will go ahead with this project"	"2002"	"2002"	"http://www.imperialinvestmentrealty.com/TD%20AlbertaOilSands.pdf"
"52"	"oilsandsreview.com Prognosis 2012"	"Birch"	"Athabasca Oil Corporation"	"Phase 1"	"SAGD"	""	""	"Announced"		"12000 "	"Barrels of bitumen per day"	"2012 plans are to prepare a regulatory application, drilling delineation wells, water wells and acquiring approximately 50 square kilometres of 3-D seismic data. Production potential of 155,000 bbl/d."	"Jul 2012"	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"101"	"oilsandsreview.com Prognosis 2012"	"Dover West Carbonates (Leduc)"	"Athabasca Oil Corporation"	"Phase 1 Demonstration"	"TAGD"	""	""	"Application"	2015-07-01	"6000 "	"Barrels of bitumen per day"	"Regulatory application to be submitted second half of 2011. First steam possibly by 2014. Applied for regulatory approval to conduct two experimental tests. First test will use steam injection to evaluate SAGD in the Leduc and the second is a two-well conduction heating trial to assess the effectiveness of thermal assisted gravity drainage (TAGD) in the same zone."	"Jul 2012"	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"122"	"oilsandsreview.com Prognosis 2012"	"Dover West Carbonates (Leduc)"	"Athabasca Oil Corporation"	"Phase 2 Demonstration"	"TAGD"	""	""	"Application"		"6000 "	"Barrels of bitumen per day"	"AOS says the first round of supplemental information requests relating to its application have been received and design basis memorandum engineering is progressing."	""	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"163"	"oilsandsreview.com Prognosis 2012"	"Dover West Sands & Clastics"	"Athabasca Oil Corporation"	"Phase 1"	"SAGD"	"$480 million"	""	"Application"	2015-07-01	"12000 "	"Barrels of bitumen per day"	"Phase two 25,000 - 40,000 bbls/d"	"Jul 2012"	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"172"	"oilsandsreview.com Prognosis 2012"	"Dover West Sands & Clastics"	"Athabasca Oil Corporation"	"Phase 2"	"SAGD"	""	""	"Announced"	2018-07-01	"35000 "	"Barrels of bitumen per day"	"Phase two 25,000 - 40,000 bbls/d"	"Jul 2012"	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"191"	"oilsandsreview.com Prognosis 2012"	"Dover West Sands & Clastics"	"Athabasca Oil Corporation"	"Phase 3"	"SAGD"	""	""	"Announced"	2020-07-01	"35000 "	"Barrels of bitumen per day"	"Phase three 25,000 - 40,000 bbls/d."	""	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"271"	"oilsandsreview.com Prognosis 2012"	"Terre de Grace"	"BP p.l.c."	"Pilot"	"SAGD"	"$4.0 billion"	""	"Approved"		"10000 "	"Barrels of bitumen per day"	"The Pilot Project will include a central processing facility that will initially be fed by up to 16 SAGD well pairs. VCI estimates that less than 65 well pairs will be required over the entire life of the Pilot Project. This facility will include steam boilers, ADCTM and USPTM units (VCI’s proprietary upgrading technology), water treatment, storage and other support & administration facilities."	"May 2012"	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"341"	"oilsandsreview.com Prognosis 2012"	"Birch Mountain"	"Canadian Natural Resources Limited"	"Phase 1"	"SAGD"	""	""	"Announced"	2019-07-01	"60000 "	"Barrels of bitumen per day"	"Regulatory application to be filed 2012"	"Jul 2012"	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"361"	"oilsandsreview.com Prognosis 2012"	"Birch Mountain"	"Canadian Natural Resources Limited"	"Phase 2"	"SAGD"	""	""	"Announced"	2023-07-01	"60000 "	"Barrels of bitumen per day"	"Two phases of 30,000 bbls/d planned"	""	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"411"	"oilsandsreview.com Prognosis 2012"	"East McMurray"	"Cenovus Energy Inc."	"Phase 1"	"SAGD"	""	""	"Announced"		"30000 "	"Barrels of bitumen per day"	"Two phases of 30,000 bbls/d planned"	""	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"451"	"oilsandsreview.com Prognosis 2012"	"Steepbank"	"Cenovus Energy Inc."	"Phase 1"	"SAGD"	""	""	"Announced"		"30000 "	"Barrels of bitumen per day"	"Cenovus says it continues to search for a strategic transaction to support development of the Telephone Lake project."	""	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"491"	"oilsandsreview.com Prognosis 2012"	"Telephone Lake Borealis"	"Cenovus Energy Inc."	"Phase A"	"SAGD"	"$1.0 billion"	""	"Application"		"45000 "	"Barrels of bitumen per day"	"Cenovus is seeking regulatory approval to recover bitumen from the McMurray Formation (which is directly overlain by a layer of non-saline groundwater (top water) using SAGD and Cenovus’s patented Wedge Well™ Technology. Project cost estimated for both phases is 3 billion dollars.The project will also require additional infrastructure, all weather roads, fuel gas pipeline, a siluent supply pipeline and a produced sales pipeline."	"May 2012"	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"51"	"oilsandsreview.com Prognosis 2012"	"Telephone Lake Borealis"	"Cenovus Energy Inc."	"Phase B"	"SAGD"	""	""	"Application"		"45000 "	"Barrels of bitumen per day"	"Chevron is looking at a range of thermal and enhanced technologies"	""	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"58"	"oilsandsreview.com Prognosis 2012"	"Ells River"	"Chevron Canada Resources"	"Commercial"	"SAGD"	""	""	"On Hold"	2015-07-01	"100000 "	"Barrels of bitumen per day"	"Chevron is looking at a range of thermal and enhanced technologies"	""	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"66"	"oilsandsreview.com Prognosis 2012"	"Dover"	"Dover Operating Corp."	"Dover North Phase 1"	"SAGD"	"$2.5 billion"	""	"Application"	2016-07-01	"50000 "	"Barrels of bitumen per day"	"The Dover Commercial Project is now operated by Dover Operating Corp, was previously operated by Athabasca Oil Sands Corp.The project will use SAGD technology and will have an ultimate production capacity of 250,000 bbls/d for approximately 50 years. The project will be developed in phases and will include two processing facilities and multiple well pads. Additional infrastructure will include roads, pipeline to supply fuel gas, electric power line, a diluted bitumen sales pipeline and a diluent supply pipeline. Initial phase 1 production capacity 50,000 bpd. Phase 1 and 2 to be developed in Dover North and phases 3-5 in Dover South."	"Jul 2012"	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"68"	"oilsandsreview.com Prognosis 2012"	"Dover"	"Dover Operating Corp."	"Dover North Phase 2"	"SAGD"	""	""	"Application"	2018-07-01	"50000 "	"Barrels of bitumen per day"	"ERCB project approval granted January 2012. Dover OpCo says construction is underway."	""	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"69"	"oilsandsreview.com Prognosis 2012"	"Dover"	"Dover Operating Corp."	"Dover South Phase 2"	"SAGD"	""	""	"Application"	2022-07-01	"50000 "	"Barrels of bitumen per day"	"ERCB project approval granted January 2012. Dover OpCo says construction is underway."	""	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"70"	"oilsandsreview.com Prognosis 2012"	"Dover"	"Dover Operating Corp."	"Dover South Phase 3"	"SAGD"	""	""	"Application"	2020-07-01	"50000 "	"Barrels of bitumen per day"	"ERCB project approval granted January 2012. Dover OpCo says construction is underway."	""	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"71"	"oilsandsreview.com Prognosis 2012"	"Dover"	"Dover Operating Corp."	"Dover South Phase 4"	"SAGD"	""	""	"Application"	2022-07-01	"50000 "	"Barrels of bitumen per day"	"ERCB project approval granted January 2012. Dover OpCo says construction is underway."	""	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"72"	"oilsandsreview.com Prognosis 2012"	"Dover"	"Dover Operating Corp."	"Dover South Phase 5"	"SAGD"	""	""	"Application"	2024-07-01	"50000 "	"Barrels of bitumen per day"	"ERCB project approval granted January 2012. Dover OpCo says construction is underway."	""	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"76"	"oilsandsreview.com Prognosis 2012"	"Mackay River"	"Dover Operating Corp."	"Phase 1"	"SAGD"	"$1.3 billion"	""	"Construction"	2014-07-01	"35000 "	"Barrels of bitumen per day"	"The project would include one remote steam generation facility and one central processing facility consisting of steam generation, bitumen and water treatment, and vapour recovery equipment. ERCB approved waiting on environmental approval."	"Apr 2012"	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"78"	"oilsandsreview.com Prognosis 2012"	"Mackay River"	"Dover Operating Corp."	"Phase 2"	"SAGD"	""	""	"Approved"	2017-07-01	"40000 "	"Barrels of bitumen per day"	"ERCB approval December 2011 waiting on Environmental approval."	""	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"80"	"oilsandsreview.com Prognosis 2012"	"Mackay River"	"Dover Operating Corp."	"Phase 3"	"SAGD"	""	""	"Approved"	2019-07-01	"40000 "	"Barrels of bitumen per day"	"ERCB approval December 2011 waiting on Environmental approval."	""	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"82"	"oilsandsreview.com Prognosis 2012"	"Mackay River"	"Dover Operating Corp."	"Phase 4"	"SAGD"	""	""	"Approved"		"35000 "	"Barrels of bitumen per day"	"ERCB approval December 2011 waiting on Environmental approval."	""	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
"89"	"oilsandsreview.com Prognosis 2012"	"Poplar Creek"	"E-T Energy Ltd."	"Experimental Pilot"	"ET-DSP"	""	""	"Operating"	2007-07-01	"1000 "	"Barrels of bitumen per day"	"Expanded field test underway and planning for commercial implementation of ET-DSP (Electro-Thermal Dynamic Stripping Process)."	"Jun 2012"	"2012"	"http://www.oilsandsreview.com/statistics/projects.asp"
